Code,For Discipline
aero_mp,Aerospace Engineering (Materials and Propulsion Theme)
aero_space,Aerospace Engineering (Space Theme)
aero_sc,Aerospace Engineering (Structures and Computation)
civil,Civil Engineering
eee,Electronic and Electrical Engineering
ecs,Electronics with Computing Science
nano,Electronics with Nanotechnology
materials,Materials Science and Engineering
mech,Mechanical Engineering
medical,Medical Engineering
mcit,Mobile Communications and Internet Technology
pde,Product Design Engineering
pdt,Product Design Technology
ses,Sports Science
sm,Sports Materials
telecoms,Telecommunications Engineering
env,Environmental Engineering
